denominacion,descripcion,actualizacion,fecha,jurisdiccion,nombre_tarjeta_home
"Gas natural Entregado y Nro. Usuarios, por Distribuidora y Tipo de Servicio", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado y Nro. Usuarios, por Distribuidora y Tipo de Usuario", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado y Nro. Usuarios, por Subzona Tarifaria y Tipo de Servicio", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado y Nro. Usuarios, por Subzona Tarifaria y Tipo de Usuario", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado y Nro. Usuarios, por Tipo de Servicio y Provincia", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado y Nro. Usuarios, por Tipo de Servicio y Subzona Tarifaria", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Gas natural Entregado y Nro. Usuarios, por Tipo de Usuario,  Provincia y subzona tarifaria", (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Uso de la Capacidad Contratada, por Distribuidora",Uso de la capacidad de transporte de gas natural por distribuidora.  (ENARGAS),Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Concesiones y lotes de Explotación,Capas geográficas de concesiones de explotación,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Conformación de consorcios del upstream,Conformación de consorcios por permiso y concesión de exploración y explotación de hidrocarburos,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Cuencas sedimentarias,Capas geográficas de Cuencas sedimentarias de la República Argentina,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Disponibilidad de sísmicas,Catálogo de sísmicas 2D y 3D georeferenciado,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Inscripciones Anuales de empresas petroleras,Registro de Empresas Petroleras del Upstream,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Inversiones previstas año actual,Inversiones en exploración y producción de hidrocarburos.,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
Inversiones realizadas en exploración y producción de hidrocarburos,Inversiones declaradas por las empresas productoras.,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
Metros Perforados,"Metros perforados de exploración, explotación y servicio.",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Permisos de Exploración,Capas geográficas de permisos de exploración,Eventual,2º semestre de 2017,Energía y Minería,Energía y Minería
Planos base,Planos base de upstream de hidrocarburos (información geográfica).,Anual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Porcentaje de concesión y participación en asociaciones por área, yacimiento",Participación de los miembros de los consorcios de explotación de hidrocarbudos.,Eventual,2º semestre de 2016,Energía y Minería,Energía y Minería
Pozos de petróleo y gas,Ubicación geográfica de pozos de petróleo y gas,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Pozos en terminados y en perforación,"Pozos terminados y en perforación de exploración, explotación y servicio.",Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Precio Internacional (PI) del Petróleo Crudo,Precio de referencia internacional del petróleo tipo Brent.,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios de Comercio Exterior,Precios de comercio exterior de hidrocarburos.,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios de Escalante,Precios históricos del crudo tipo escalante,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
Precios de petróleo Crudo por tipo,Precio del crudo por tipo en US$/m3 y WTI en US$/m3 y US$/bbl,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Precios de Petróleo Crudo, Gas Natural, GLP, Gasolina y Condensado (Regalías)",Precios computados para el cálculo de regalías de hidrocarburos a las provincias o al estado nacional,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Producción computable para regalías de crudo, condensado, gasolina gas natural y  en m3 y en USD","Producción computable para el cálculo de regalías de crudo, condensado y gasolina estabilizada",Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
Producción de GLP,Producción de GLP Condensado y Gasolina Estabilizada - Producción de GLP,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Producción de petróleo gas por yacimiento,"Producción de petróleo y gas natural desagregada por yacimiento, provincia, cuenca y concesión",Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Producción mensual de petróleo, gas y agua por pozo",Producción de Hidrocarburos por Pozo y Formación Productiva,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
Pronósticos de producción de hidrocarburos,Pronósticos de producción de petróleo y gas natural,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
Puntos de Venteo Declarados,Ubicación geográfica de puntos de venteo declarados de gas natural,Eventual,1º semestre de 2017,Energía y Minería,Energía y Minería
Registro de incidentes ambientales en producción de hidrocarburos,Incidentes ambientales asociados a la exploración y explotación de hidrocarburos,Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Reservas de hidrocarburos,"Reservas de petróleo y gas comprobadas, probables y posibles en base a las DDJJ de las empresas, hasta el final de la concesión y de la vida útil.",Anual,2º semestre de 2017,Energía y Minería,Energía y Minería
Trabajos geofisicos y perforación de pozos,Trabajos geofisicos y perforación de pozos,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
Variación del precio en boca de pozo del gas por redes para GNC,Evolución del precio del GNC y variación respecto del mes anterior.,Mensual,2º semestre de 2016,Energía y Minería,Energía y Minería
"Volumen de venta de crudo, condensado y gasolina por cuenca, provincia y mercado",Abierto por mercado interno y externo.,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Volumen de venta de gas y GLP cuenca, provincia y mercado",Abierto por mercado interno y externo.,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
Yacimientos hidrocarburíferos,Capas geográficas de yacimientos de hidrocarburos.,Eventual,2º semestre de 2017,Energía y Minería,Energía y Minería
Registro de agentes GLP,Registro de agentes que participan del mercado de GLP.,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
Registro de envases de GLP,Registro de envases circulantes de GLP en todo el país.,Semanal,2º semestre de 2017,Energía y Minería,Energía y Minería
Comercialización de derivados,Comercialización de productos derivados del petróleo,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
"Compra, Venta y Transferencias de Combustible",Estadísticas por empresa y por provincia de comercialización de combustibles,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Estaciones de servicio,Ubicación geográfica de estaciones de servicio en todo el país,Eventual,2º semestre de 2017,Energía y Minería,Energía y Minería
Precios de venta de combustible en tiempo real,Precio vigente de ventas de combustibles por estación de servicio. Tiempo real sujeto a restricciones de carga (horas).,Tiempo Real,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios en planta ,Precios de Combustibles Líquidos en Planta (Canales de comercializacion y Reventa a estaciones de servicio),Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios y volumenes de Gas Licuado de Petroleo,Estadísticas por empresa y por provincia de comercialización GLP,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios y volumenes en Estaciones de servicio de derivados,Estadísticas de venta de Estaciones de Servicio de combustibles,Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
Precios y volumenes mayoristas de derivados,Estadísticas mayoristas y en planta de combustibles,Mensual,2º semestre de 2017,Energía y Minería,Energía y Minería
"Refinación: Consumo Propio, petróleo procesado y productos elaborados","Consumo propio de hidrocarburos en centros de refinación, procesamiento de petróleo crudo y otras cargas y productos elaborados en centros de refinación.",Mensual,1º semestre de 2017,Energía y Minería,Energía y Minería
